,tahun,bulan,jenis,kode_trayek,trayek,jumlah_penumpang,kategory_penumpang
126,2021,8,Mikrotrans,JAK.77,Tanjung Priok - Jembatan Item,47157,sepi penumpang (Mikrotrans)
127,2021,8,Mikrotrans,JAK.75,Cililitan - Kp. Pulo,34670,sepi penumpang (Mikrotrans)
128,2021,8,Mikrotrans,JAK.74,Terminal Rawamangun - Cipinang Muara,27982,sepi penumpang (Mikrotrans)
129,2021,8,Mikrotrans,JAK.73,Jambore Cibubur - Pasar Rebo,50707,sepi penumpang (Mikrotrans)
130,2021,8,Mikrotrans,JAK.72,Kampung Rambutan - Pasar Rebo via Poncol,64823,sepi penumpang (Mikrotrans)
131,2021,8,Mikrotrans,JAK.71,Kampung Rambutan - Pinang Ranti,48103,sepi penumpang (Mikrotrans)
132,2021,8,Mikrotrans,JAK.64,Lenteng Agung - Aseli,35068,sepi penumpang (Mikrotrans)
133,2021,8,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,20802,sepi penumpang (Mikrotrans)
134,2021,8,Mikrotrans,JAK.60,Kelapa Gading - Rusun Kemayoran,44923,sepi penumpang (Mikrotrans)
135,2021,8,Mikrotrans,JAK.59,Rawamangun - Tanah Merah,43369,sepi penumpang (Mikrotrans)
136,2021,8,Mikrotrans,JAK.58,Cilingcing - Rorotan,62761,sepi penumpang (Mikrotrans)
137,2021,8,Mikrotrans,JAK.56,Grogol - Srengseng,33731,sepi penumpang (Mikrotrans)
138,2021,8,Mikrotrans,JAK.54,Grogol - Benhil,30485,sepi penumpang (Mikrotrans)
139,2021,8,Mikrotrans,JAK.53,Grogol - Pos Pengumben via Slipi,28991,sepi penumpang (Mikrotrans)
140,2021,8,Mikrotrans,JAK.52,Kalideres - Muara Angke,51132,sepi penumpang (Mikrotrans)
141,2021,8,Mikrotrans,JAK.51,Taman Kota - Budi Luhur,75413,sepi penumpang (Mikrotrans)
142,2021,8,Mikrotrans,JAK.50,Kalideres - Puri Kembangan,45605,sepi penumpang (Mikrotrans)
143,2021,8,Mikrotrans,JAK.49,Lebak Bulus - Cipulir,29621,sepi penumpang (Mikrotrans)
